Node,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20
25,2,2,0,4,10,1,2,10,8,8,5,12,3,10,0,1,11,8,0,1
19,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
183,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
184,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
18,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
27,2,2,0,6,10,1,2,10,8,8,12,12,3,10,0,1,11,8,0,1
132,1,7,2,10,2,5,8,4,10,11,3,9,3,8,1,1,11,10,0,2
236,2,2,0,4,10,1,5,10,8,8,5,0,0,3,0,0,5,13,10,0
241,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
250,12,2,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
130,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
281,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,1
81,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
293,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
83,2,2,0,4,10,1,2,10,8,8,5,12,3,10,0,1,11,8,0,1
49,1,7,2,10,2,5,8,4,10,11,3,9,2,8,1,4,11,10,5,2
161,1,7,2,10,2,5,8,4,10,11,3,9,2,8,1,4,11,10,5,2
169,1,7,2,10,2,5,8,4,10,11,3,9,2,8,1,4,11,10,5,2
54,3,9,9,0,1,7,1,1,6,0,0,3,1,7,3,5,3,3,7,3
53,3,9,9,0,1,7,1,1,6,0,0,3,1,7,3,5,3,3,7,3
178,3,9,9,0,1,7,1,1,6,0,0,3,1,7,3,5,3,3,7,3
187,0,10,10,5,0,9,0,5,5,4,9,7,4,4,10,6,13,0,8,12
186,0,10,10,5,0,9,0,5,5,4,9,7,4,4,10,6,13,0,8,12
188,0,10,10,5,0,9,0,5,5,4,9,7,4,4,10,6,13,0,8,12
59,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
243,3,6,9,8,5,6,1,1,0,1,12,4,1,7,9,5,9,3,6,11
313,2,13,1,11,3,10,12,2,4,9,11,1,0,12,6,11,2,12,10,13
60,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
65,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
63,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
67,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
262,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,12,7,11,5
68,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,5,7,11,5
276,8,3,5,2,6,3,7,11,2,5,6,11,5,13,4,13,5,7,11,5
72,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
286,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
75,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
76,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
301,6,2,4,6,10,1,2,10,8,8,7,12,3,10,12,1,11,8,0,6
74,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
39,4,4,6,3,9,4,4,9,3,12,8,5,9,0,5,10,4,1,3,6
77,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
291,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
56,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
55,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,5,4,7
111,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
